Chapter,Location,Context Esp,Context Eng,Latitude,Longitude,Number of Characters,Character 1,Exactness,Exactness old,Exact,Reality,Page,Section,Old category,Category,Structure Type
46,Complejo Egara,interrogación de Jaume Pocoví,Pocovi is interrogated here,41.554359,2.067889,,,1,High,Yes,Real,261-263,10,Pocoví,Sospechoso,Municipal
47,Complejo Egara,Pocoví confiesa,Pocovi confesses,41.553819,2.068200769,,,1,High,Yes,Real,268-269,10,Pocoví,Sospechoso,Municipal
48,"la Vila Universitaria, UAB",Pocoví también vive aquí,Pocovi lives here as well,41.49993856,2.097066559,,,2,Medium,Yes,Real,270,10,Pocoví,Sospechoso,Home
48,la casa de Ana y Pocoví,"junto a la estación de Bellaterra, Ana le echa a Pocoví de casa","Ana and Pocovís house, Ana kicks him out",41.500931,2.090439,,,3,Medium,No,Fictional,270,10,Pocoví,Sospechoso,Home
48,"la Vila Universitaria, UAB",Pocoví droga a Laura y la mata,Pocovi drugs Laura and kills her,41.499684,2.097172,,,2,Medium,Yes,Real,271,10,Pocoví,Sospechoso,Home
48,el bosque,el loco asalta a Pocoví cuando busca un lugar para dejar el cuerpo de Laura,The crazy guy attacks Pocovi when he looks for a place to leave Laura's body,41.504672,2.109953,,,3,Low,No,Real,271,10,Pocoví,Sospechoso,Exterior
48,la Mutua de Sabadell,Pocoví recibe puntos de sutura,Pocovi gets stitches here,41.550011,2.105143,,,1,High,Yes,Real,271,10,Pocoví,Sospechoso,Municipal
38,la facultad de Filosofía y Letras,una brigada de limpieza descubre el cuerpo de Bru en el baño,a cleaning crew finds Marcel's body in the bathroom,41.503074,2.107820769,,,1,High,Yes,Real,222-224,9,Cuerpo,Dead Body,Municipal
36,la Illa Diagonal,tienda en un centro comercial. Esta tienda vende los animales de plástico al asesino,"A mall that has a store that sells plastic animals (and other collectibles), may be the source of the animals used by the killer",41.389654,2.135108,,,2,Medium,Yes,Real,213-214,9,narrator,Sospechoso,Business
43,N-156 y A-7,los mozos detectan la furgoneta de Iliescu,The Mozos find Iliescu's van,41.895466,2.774985,,,1,High,Yes,Real,245,9,Iliescu,Sospechoso,Transport
,el Consulado General de Rumanía,Manuela Vázquez aquí para hablar con el cónsul rumano,Manuela V goes here to talk to the Romanian consul,41.407716,2.129848,,,1,High,Yes,Real,210,9,Mozos,Investigador,Municipal
,Complejo Egara,donde el inspector Lluçanès coordina la operación de encontrar a Iliescu,Llucanes coordinates the operation to detain Iliescu from here,41.553819,2.067577231,,,1,High,Yes,Real,245,9,Mozos,Investigador,Municipal
,el peaje de Cardedeu-La Roca,el lugar elegido para detener a Iliescu mientras conduce hacia Barcelona,The planned stretch of road to capture Iliescu on,41.612769,2.350091,,,2,Medium,No,Real,246,9,Mozos,Investigador,Transport
,el área de servicio de Montcada,Lluçanès y Cañizares esperan a Iliescu aquí,Lluc y Canizares wait for Iliescu here,41.493044,2.181911,,,1,High,Yes,Real,248,9,Mozos,Investigador,Transport
,Nou Barris,Iliescu alquila un bajo aquí después de decidir que no quiere vivir con Laura,Iliescu stays here after deciding not to live with Laura,41.440542,2.177363,,,5,Low,No,Fictional,253,9,Iliescu,Sospechoso,Home
,Londres,"Iliescu pasa tiempo con un amigo mientras los asesinatos de Doménica, Bru y Bellpuig","This is where Iliescu was when Doménica, Bru and Bellpuig were murdered",51.507797,-0.123603,,,5,Low,No,Fictional,253,9,Iliescu,Sospechoso,Home
,Aeropuerto de Gerona,Iliescu toma un vuelo de Gerona a Londres,Iliescu takes a fight from Gerona to london,41.898416,2.766312,,,1,High,Yes,Real,254,9,Iliescu,Sospechoso,Transport
,la facultad de Filosofía y Letras,los okupas deciden retirarse porque los medios de comunicación solamente cubren los asesinatos,The squatters decide to leave because the media is only covering the murders,41.503074,2.107197231,,,2,Medium,Yes,Real,218,9,narrator,Víctima,Municipal
,el aeropuerto del Prat,Las madres de Laura salen y los padres de Doménica llegan,Laura's parents leave and Doménica's parents arrive,41.297101,2.083262,,,1,High,Yes,Real,221,9,las señoras Cremona-Hogarth,Víctima,Transport
,la facultad de Filosofía y Letras,"Rosario Hurtado busca a Bellpuig en su oficina, pero está muerto","Rosario H attemps to find Bellpuig in his office, but he is found dead there",41.503254,2.107509,,,1,High,Yes,Real,198-199,8,Cuerpo,Dead Body,Municipal
,el hotel Casa Fuster,un hotel cerca de donde vive Rosa Casasaies. Manuela Vázquez aquí para entrevistarle,A hotel near where Rosa C lives.  Manuela V meets her here,41.397976,2.158072,,,1,High,Yes,Real,186,8,Mozos,Investigador,Hotel
,Nápoles,la familia Arrigo es de Nápoles,The Arrigo family is from Naples,40.855923,14.267381,,,5,Low,No,Fictional,184,8,narrator,Víctima,Home
,Vilanova i la Geltrú,Bru está aquí en cama con gripe después de recibir su libertad del juez,"Marcel B is here, in bed with the flu, after being released from police custody by the judge",41.219639,1.725156,,,5,Low,No,Fictional,191,8,Bru,Sospechoso,Home
,"la Vila Universitaria, UAB",unos testigos relatan que han visto un hombre mayor con Doménica y que salió del apartamento,witnesses say that they saw an older man with Doménica here and she left her apartment with him,41.499684,2.096452,,,2,Medium,Yes,Real,192,8,Doménica,Sospechoso,Home
,la Universidad Autónoma de Barcelona,"memorial para Laura y Doménica, Manuela Vázquez y Rosario Hurtado asisten. Bellpuig también está aquí pero sale","Memorial for Laura and Doménica, Manuela V and Rosario H attend. Bellpuig is also here but leaves early",41.50202,2.103888231,,,3,Medium,No,Real,197,8,Bellpuig,Sospechoso,Municipal
,el tanatorio de Les Corts,"el funeral de Bellpuig está aquí, con algunos invitados destacados","Bellpuig's funeral is here, with some guests noted in novel",41.38382,2.121457,,,1,High,Yes,Real,207,8,narrator,Víctima,Municipal
,Hotel Sehrs Campus,los policías se reúnen aquí después del descubrimiento del cuerpo de Doménica,The police meet here after finding Doménica's body,41.500465,2.095956,,,1,High,Yes,Real,158,7,Mozos,Investigador,Hotel
,"la Vila Universitaria, UAB",Bellpuig dice que estaba con Doménica aquí la noche del asesinato de Laura,Bellpuig says that he was with Doménica here the night of Laura's death,41.49942944,2.096557441,,,1,High,Yes,Real,167,7,Doménica y Bellpuig,Sospechoso,Home
,Hotel Sehrs Campus,"Bellpuig y su amante, Mónica, se reunen aquí. Un encuentro casual entre Bellpuig y Doménica en la cafetería","Bellpuig and his current girlfriend/lover, Monica, meet here.  Bellpuig  runs into Doménica in the cafeteria of the hotel",41.499745,2.095956,,,1,High,Yes,Real,166,7,Doménica y Bellpuig,Sospechoso,Hotel
,Madrid,Bellpuig dice que estaba aquí después de la desaparición de Laura,Bellpuig says that he was here after Laura's dissappearance,40.419575,-3.702892,,,5,Low,No,Fictional,171,7,Bellpuig,Sospechoso,Hotel
,Hotel Sehrs Campus,Bellpuig toma café aquí antes de reunirse con Doménica,Bellpuig has coffee here before the encounter with Doménica,41.500105,2.095596,,,1,High,Yes,Real,175,7,Bellpuig,Sospechoso,Hotel
,"la Vila Universitaria, UAB",Doménica Arrigo fue asesinada en su apartamento,Doménica A was killed in her apartment,41.500044,2.096812,,,2,Medium,Yes,Real,150,6,Cuerpo,Dead Body,Home
,la comisaría de Sabadell,los policías llevan al loco aquí,The police take the crazy guy to here,41.540372,2.100651,,,1,High,Yes,Real,130,6,Mozos,Investigador,Municipal
,el hotel Claris,"Dolors Adrover y Rosa Casasaies hablan con la policía aquí, Josep Lluçanès y Manuela Vázquez","Dolors A and Rosa C visit the police here, interviewed by Llucanes and Manuela V",41.394819,2.165076,,,1,High,Yes,Real,139,6,Mozos,Investigador,Hotel
,"la Vila Universitaria, UAB",la puerta del piso 2 del edificio A había sido forzada,the door of an apartment has been broken into/left open,41.499324,2.096812,,,1,High,Yes,Real,147,6,narrator,Sospechoso,Home
,Hospital Clínico de Barcelona,el cónsul de Italia y los padres de Laura van aquí para ver el cadáver,the Italian consul and Laura's parents go here to see the body,41.389029,2.152221,,,1,High,Yes,Real,131,6,las señoras Cremona-Hogarth,Víctima,Municipal
,el hotel Claris,las madres de Laura se mudan aquí después de la muerte de Laura,Laura's parents move here after Laura's death,41.394099,2.165076,,,1,High,Yes,Real,137,6,las señoras Cremona-Hogarth,Víctima,Hotel
,"la Vila Universitaria, UAB",las madres de Laura habían recogido las pertenencias de Laura con la ayuda de Doménica,Laura's parents pick up her things here with Doménica's help,41.49993856,2.096557441,,,1,High,Yes,Real,152,6,las señoras Cremona-Hogarth,Víctima,Home
,el bosque,Rosario Hurtado es asaltada por un loco,Rosario H is attacked by a crazy guy,41.504312,2.109593,,,3,Low,No,Real,117-119,5,Mozos,Investigador,Exterior
,el bosque,el loco asalta a otro policía,The crazy guy attacks another police officer,41.504672,2.109233,,,3,Low,No,Real,127,5,Mozos,Investigador,Exterior
,el número 66 de la Carretera de La Bordeta,Bru y Laura están allí antes de la entrevista de Laura en TV3,Marcel B and Laura are here before Laura goes on TV3,41.373083,2.144705,,,1,High,Yes,Real,121,5,Bru y Laura,Investigador,Home
,tienda de ropa infantil de la familia Bru,"en la calle Mayor de Vilanova, los padres hablan con la prensa aquí","on Mayor de Vilanova street, Marcel's parents speak to press here",41.227484,1.723648,,,4,Low,No,Fictional,124,5,Bru,Víctima,Business
,el hotel de Bellaterra,"los padres de Laura están instalados allí, el cónsul italiano va allí para darles la noticia del homicidio","Laura's parents move in here, the Italian consul come here to inform them of Laura's death",41.491453,2.100659,,,1,High,Yes,Real,111-113,5,las señoras Cremona-Hogarth,Víctima,Hotel
,la comisaría de Cerdañola,los padres de Laura están allí después de enterarse del asesinato de Laura,Laura's parents are here after Laura's body is found,41.48599925,2.123474619,,,1,High,Yes,Real,113,5,las señoras Cremona-Hogarth,Víctima,Municipal
,la facultad de Filosofía y Letras,los anti-Bolonia todavía ocupan el edificio,the anti-Bolonia protesters still occupy this building,41.502714,2.107197231,,,1,High,Yes,Real,123,5,narrator,Víctima,Municipal
,el bosque,"al lado de campus, hay un camino desde Ciudad Badia hasta el aparcamiento de la facultad de Letras de la Universidad. Un hombre y su perro descubren el cuerpo de Laura","Next to campus, there is a dirt path from Ciudad Badia to the parking lot of the Facultad de Letras on the university campus.  A man and his dog finds Laura's body here",41.505032,2.109593,,,3,Medium,Yes,Real,105-106,4,Cuerpo,Dead Body,Exterior
,la comisaría de Sabadell,esta comisaría se encarga del caso cuando se convierte en un asesinato,This police district is placed in charge of the case now that it is a homicide,41.541092,2.100651,,,1,High,Yes,Real,107/110,4,Mozos,Investigador,Municipal
,Vilanova i la Geltrú,el domicilio familiar de Marcel Bru,Family home of Marcel Bru,41.220359,1.725156,,,5,Low,No,Fictional,83,4,Bru,Sospechoso,Home
,el número 66 de la Carretera de La Bordeta,la dirección de Marcel Bru en Barcelona; Manuela Vázquez y Rosario Hurtado hacen una redada en el piso de Bru,"Marcel Bru's Barcelona address, Manuela V and Rosario H obtain a search warrant for the apartment",41.373803,2.144705,,,1,High,Yes,Real,83; 85-88,4,Bru,Sospechoso,Home
,los estudios de TV3,Marcel Bru confiesa que había ido a buscar a Laura Cremona allí,Marcel B confesses that he went to pick up Laura here,41.374048,2.070351231,,,1,High,Yes,Real,95,4,Bru,Sospechoso,Business
,la Global (Gloobal Club),"un club en la Zona Hermética de Sabadell, Marcel Bru dice que había estado allí con su primo y amigos después de dejar a Laura","A nightclub in an industrial area of Sabadell, Marcel B says that he was here with his cousin and friends after dropping off Laura",41.531198,2.097682,,,1,High,Yes,Real,96,4,Bru,Sospechoso,Bar Restaurant
,Hotel Sehrs Campus,Doménica está con el profesor Bellpuig la noche de la desaparición de Laura,Doménica runs into professor Bellpuig the night of Laura's disappearance,41.500105,2.096316,,,1,High,Yes,Real,99,4,Doménica y Bellpuig,Investigador,Hotel
,el Robador 23,"un bar en el Raval, Bru estaba allí con Laura y lleva a los policías allí","A bar in the Raval neighborhood, Marcel B was here with Laura and takes the police here",41.379675,2.170717,,,1,High,Yes,Real,101,4,Bru y Laura,Sospechoso,Bar Restaurant
,el Kentucky,"un bar en el Raval, Bru estaba allí con Laura y lleva a los policías allí","A bar in the Raval neighborhood, Marcel B was here with Laura and takes the police here",41.377693,2.174699,,,1,High,Yes,Real,101,4,Bru y Laura,Sospechoso,Bar Restaurant
,el mercado de La Boquería,Bru había dejado el coche en el aparcamiento la noche de la desaparición de Laura,Bru left his car in the parking garage the night of Laura's disappearance,41.381732,2.171585,,,1,High,Yes,Real,103,4,Bru,Sospechoso,Municipal
,la comisaría de Cerdañola,Bru está aquí para ver el cuerpo de Laura,Bru is here to view Laura's body,41.48559675,2.124028603,,,1,High,Yes,Real,109,4,Bru,Víctima,Municipal
,Hospital Clínico de Barcelona,el cuerpo de Laura es transportado al morgue aquí,Laura's body is transported to the morgue here,41.389749,2.152221,,,1,High,Yes,Real,109,4,narrator,Víctima,Municipal
,la comisaría de Cerdañola,Manuela Vázquez aparenta una enfermedad para no hablar con la prensa,Manuela V fakes an illness in order to not have to talk to the press,41.48599925,2.124159381,,,1,High,Yes,Real,58,3,Mozos,Investigador,Municipal
,el restaurante Hispània de Arenys de Mar,"los padres de Laura comen con el cónsul Italiano, Dante Braccalente","Laura's parents eat with the Italian consul, Dante B",41.571221,2.532542,,,1,High,Yes,Real,67,3,las señoras Cremona-Hogarth,Víctima,Bar Restaurant
,la facultad de Filosofía y Letras,una asamblea/manifestacián sobre las desapariciones de Iliescu y Cremona,An assembly/protest regarding the disappearances of Iliescu and Cremona,41.502534,2.107509,,,2,Medium,Yes,Real,71,3,narrator,Víctima,Municipal
,la comisaría de Cerdañola,"los padres de Laura estan allí para ver el video de la cámera de seguridad de los estudios de TV3, identifican a Marcel Bru","Laura's parents are here in order to watch the security footage from outside the TV3 studios, they identify Marcel Bru",41.48559675,2.123605397,,,1,High,Yes,Real,77,3,las señoras Cremona-Hogarth,Víctima,Municipal
,la comisaría de Cerdañola,Rosa Casasaies y Doménica Arrigo denuncian la desaparición de Laura Cremona,Rosa C and Doménica A report the disappearance of Laura C,41.486248,2.123817,,,1,High,Yes,Real,42,2,Mozos,Investigador,Municipal
,los estudios de TV3,"Según Manuela Vázquez, nadie sale caminando de los estudios de televisión","According to Manuela Vazquez, noone walks to/from the TV3 television studios",41.374588,2.070663,,,1,High,Yes,Real,55,2,Mozos,Investigador,Business
,la pensión La Palomera,"lugar de residencia de Iliescu en Barcelona, pero solamente está aquí durante dos días en agosto","Iliescu's residence in Barcelona, only here two days in August before moving again",41.379453,2.168721,,,5,Low,No,Fictional,27,2,Iliescu,Sospechoso,Hotel
,Bucarest,"dirección permanente de Iliescu, pero Iliescu se había mudado","Iliescu's permanent address, but he has moved",44.426772,26.108026,,,5,Low,No,Fictional,27,2,Iliescu,Sospechoso,Home
,los estudios de TV3,Laura Cremona es entrevistada en el telediario de la noche,Laura Cremona is interviewed on the evening news,41.374048,2.070974769,,,1,High,Yes,Real,33,2,Laura,Investigador,Business
,el aeropuerto del Prat,Rosa Casasaies y Antoni Capllonc reciben a los padres de Laura Cremona,Rosa C and Antoni C greet Laura's parents,41.297821,2.083262,,,1,High,Yes,Real,47,2,las señoras Cremona-Hogarth,Investigador,Transport
,Milán,las señoras Cremona-Hogarth vienen de Milán,Ms. and Ms. Cremona-Hogarth live in Milan,45.464425,9.186577,,,5,No,Low,Fictional,48,2,las señoras Cremona-Hogarth,Víctima,Home
,la Universidad Autónoma de Barcelona,los padres de Laura Cremona reunen con las autoridades académicas,Laura's parents meet with academic authorities,41.50202,2.104511769,,,4,Low,No,Real,49,2,las señoras Cremona-Hogarth,Investigador,Municipal
,estación de tren de Bellaterra,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.500888,2.090515,,,1,High,Yes,Real,13,1,narrator,Investigador,Transport
,estación de tren de Cerdañola,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.497197,2.115333,,,1,High,Yes,Real,13,1,narrator,Investigador,Transport
,"la Vila Universitaria, UAB",carteles con la foto de Constantinu Iliescu,"posters displayed here with Constantinu Iliescu's picture, student apartments",41.49942944,2.097066559,,,2,Medium,Yes,Real,13,1,narrator,Investigador,Home
,Vila de Gràcia,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.408949,2.151883,,,3,Medium,No,Real,13,1,narrator,Investigador,Exterior
,el cine Verdi,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.404345,2.157777,,,1,High,Yes,Real,13,1,narrator,Investigador,Business
,el metro de Fontana,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.402629,2.152726,,,1,High,Yes,Real,13,1,narrator,Investigador,Transport
,el metro de Lesseps,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.405741,2.150406,,,1,High,Yes,Real,13,1,narrator,Investigador,Transport
,la oficina de Casasaies,Casasies se reune con los estudiantes sobre la desaparición de Iliescu,Meeting of Casasaies and Bellpuig with the students,41.502894,2.107509,,,2,Medium,No,Real,20,1,"Casasaies, Bellpuig, Laura, Bru, Doménica",Investigador,Municipal
,la Universidad Autónoma de Barcelona,ubicación del prólogo (con mapa),Location mentioned in prologue (book provides map),41.50256,2.1042,,,1,High,Yes,Real,11,1,narrator,Sospechoso,Municipal
,la facultad de Filosofía y Letras,ubicación del prólogo (con mapa),Location mentioned in prologue (book provides map),41.502714,2.107820769,,,1,High,Yes,Real,11,1,narrator,Sospechoso,Municipal